i,0
1,0.013
2,0.036
3,0.013
4,0.013
5,0.051
8,0.011
9,0.023
10,0.036
11,0.011
12,0.036
13,0.031
14,0.015
15,0.03
16,0.023
17,0.029
18,0.062
19,0.1
20,0.04
21,0.015
22,0.033
24,0.037
25,0.037
26,0.042
27,0.08
28,0.057
29,0.062
30,0.073
31,0.034
32,0.073
33,0.124
34,0.062
35,0.017
36,0.076
37,0.052
38,0.042
39,0.035
40,0.023
41,0.002
42,0.005
43,0.007
44,0.033
45,0.003
46,0.034
47,0.008
48,0.074
49,0.014
50,0.004
51,0.02
52,0.055
53,0.033
54,0.004
55,0.005
57,0.002
59,0.009
60,0.002
61,0.016
62,0.014
63,0.025
64,0.053
65,0.001
66,0.014
67,0.005
68,0.018
69,0.079
70,0.007
71,0.017
72,0.003
73,0.07
74,0.128
75,0.066
76,0.022
78,0.01
79,0.016
80,0.011
81,0.046
82,0.036
83,0.042
84,0.007
85,0.018
86,0.035
87,0.055
88,0.022
89,0.011
90,0.013
91,0.047
92,0.02
93,0.054
94,0.041
95,0.012
96,0.004
97,0.036
98,0.004
99,0.032
100,0.043
101,0.013
102,0.087
103,0.007
104,0.003
105,0.008
107,0.023
108,0.013
109,0.058
110,0.017
111,0.002
112,0.003
113,0.005
114,0.026
115,0.011
116,0.023
117,0.009
118,0.013
119,0.024
120,0.024
121,0.007
122,0.006
123,0.001
124,0.015
125,0.01
126,0.065
127,0.052
128,0.01
129,0.031
130,0.005
132,0.004
133,0.042
135,0.006
136,0.004
138,0.005
139,0.04
140,0.016
141,0.004
142,0.026
143,0.003
144,0.004
145,0.007
146,0.034
147,0.054
148,0.003
149,0.032
150,0.006
152,0.034
153,0.102
154,0.017
155,0.012
156,0.047
157,0.074
158,0.033
159,0.147
160,0.024
161,0.052
162,0.01
163,0.002
164,0.129
165,0.029
166,0.09
167,0.036
168,0.025
169,0.065
170,0.049
171,0.003
172,0.007
174,0.007
175,0.035
176,0.037
177,0.074
178,0.022
179,0.049
180,0.024
181,0.061
182,0.002
183,0.013
184,0.125
185,0.081
186,0.038
187,0.019
189,0.073
190,0.005
191,0.029
192,0.015
193,0.074
194,0.03
195,0.014
196,0.009
197,0.009
198,0.019
199,0.039
200,0.05
201,0.022
202,0.001
203,0.09
204,0.051
205,0.032
206,0.053
207,0.015
208,0.01
209,0.079
210,0.069
211,0.038
212,0.016
213,0.006
214,0.004
215,0.025
216,0.007
217,0.076
218,0.034
219,0.016
220,0.001
221,0.021
222,0.047
223,0.04
224,0.042
225,0.067
226,0.055
227,0.085
228,0.003
229,0.026
230,0.062
231,0.008
232,0.003
233,0.005
234,0.297
235,0.045
237,0.007
238,0.046
239,0.027
240,0.01
241,0.044
242,0.003
243,0.003
244,0.01
245,0.082
246,0.001
247,0.011
248,0.061
249,0.016
250,0.03
251,0.077
252,0.035
253,0.039
254,0.015
255,0.031
256,0.106
257,0.024
258,0.015
259,0.017
260,0.064
261,0.006
262,0.058
263,0.013
264,0.051
265,0.019
266,0.032
267,0.025
268,0.028
270,0.029
271,0.009
272,0.023
273,0.01
274,0.003
275,0.024
276,0.013
277,0.001
278,0.004
279,0.088
280,0.071
281,0.058
283,0.008
284,0.032
285,0.024
286,0.043
287,0.068
289,0.051
290,0.071
291,0.019
292,0.031
293,0.107
294,0.067
295,0.043
296,0.021
297,0.047
298,0.053
299,0.014
302,0.088
303,0.008
304,0.199
305,0.049
306,0.024
307,0.054
308,0.018
309,0.005
310,0.05
311,0.038
312,0.096
313,0.02
314,0.075
315,0.049
316,0.032
317,0.098
318,0.03
319,0.056
320,0.009
321,0.048
323,0.027
324,0.001
325,0.001
326,0.012
327,0.047
328,0.01
329,0.005
330,0.016
331,0.083
332,0.052
333,0.006
334,0.054
335,0.025
336,0.093
337,0.034
338,0.022
339,0.025
340,0.077
341,0.065
342,0.031
343,0.067
344,0.008
345,0.039
348,0.022
349,0.016
350,0.004
351,0.051
352,0.015
353,0.012
354,0.008
355,0.069
356,0.033
357,0.041
358,0.034
359,0.018
360,0.033
361,0.007
362,0.004
363,0.062
364,0.087
365,0.071
366,0.102
367,0.078
368,0.142
369,0.034
370,0.029
371,0.082
372,0.044
373,0.004
374,0.131
375,0.028
376,0.002
377,0.022
378,0.035
379,0.095
380,0.053
381,0.031
382,0.03
383,0.031
384,0.1
385,0.055
386,0.042
387,0.06
388,0.008
389,0.001
390,0.007
391,0.081
392,0.041
393,0.012
394,0.029
395,0.009
396,0.1
397,0.049
398,0.057
399,0.061
400,0.089
401,0.016
402,0.037
403,0.085
404,0.025
405,0.006
406,0.004
407,0.039
408,0.001
409,0.002
410,0.018
412,0.017
413,0.039
415,0.01
417,0.012
418,0.011
419,0.016
420,0.073
421,0.021
422,0.001
423,0.093
424,0.015
425,0.002
426,0.011
427,0.02
428,0.016
429,0.016
430,0.003
431,0.001
432,0.031
433,0.11
434,0.016
435,0.013
436,0.018
437,0.032
438,0.016
439,0.035
440,0.095
441,0.025
442,0.022
443,0.112
444,0.016
445,0.047
446,0.003
447,0.011
448,0.001
449,0.011
450,0.023
451,0.015
452,0.028
453,0.013
455,0.002
457,0.002
458,0.023
459,0.007
460,0.002
461,0.014
462,0.035
464,0.015
465,0.013
466,0.034
467,0.025
468,0.008
469,0.069
470,0.027
471,0.013
472,0.017
474,0.002
475,0.124
476,0.008
477,0.012
479,0.051
480,0.062
481,0.001
482,0.003
483,0.023
485,0.018
486,0.009
487,0.064
488,0.032
489,0.032
490,0.018
491,0.094
492,0.01
493,0.081
494,0.066
495,0.03
496,0.018
497,0.054
498,0.022
499,0.014
500,0.025
501,0.008
502,0.024
503,0.022
504,0.011
505,0.014
506,0.141
507,0.004
508,0.03
513,0.002
514,0.029
515,0.018
516,0.016
517,0.009
518,0.03
519,0.01
520,0.028
521,0.005
522,0.002
523,0.009
524,0.02
525,0.022
526,0.023
527,0.023
528,0.037
529,0.043
530,0.042
531,0.074
532,0.084
533,0.055
534,0.003
535,0.017
536,0.083
537,0.003
538,0.018
539,0.051
540,0.045
541,0.01
542,0.036
543,0.049
544,0.008
545,0.01
546,0.015
548,0.012
549,0.013
551,0.02
552,0.071
553,0.027
556,0.157
557,0.001
558,0.022
559,0.029
560,0.03
561,0.038
562,0.058
564,0.109
565,0.029
